Date,open,high,low,close,"XAU/USD(Open, Bid)*","XAU/USD(High, Bid)*","XAU/USD(Low, Bid)*","XAU/USD(Close, Bid)*"
23//2017:00:00,1291.87,1292.23,1291.80,1292.12,1291.52,1291.85,1291.42,1291.73
23//2017:00:00,1291.26,1292.33,1291.07,1291.90,1290.89,1291.94,1290.70,1291.52
23//2017:00:00,1290.49,1291.28,1290.40,1291.27,1290.12,1290.91,1290.01,1290.90
23//2017:00:00,1290.10,1290.49,1290.09,1290.49,1289.74,1290.12,1289.71,1290.11
23//2017:00:00,1290.21,1290.25,1289.90,1290.10,1289.83,1289.89,1289.54,1289.75
23//2017:00:00,1290.38,1290.46,1289.95,1290.21,1290.01,1290.08,1289.56,1289.84
23//2017:00:00,1289.99,1290.37,1289.99,1290.37,1289.60,1290.02,1289.60,1290.01
23//2017:00:00,1290.40,1290.40,1289.91,1289.94,1290.04,1290.05,1289.55,1289.60
23//2017:00:00,1290.40,1290.48,1290.31,1290.40,1290.03,1290.11,1289.93,1290.02
23//2017:00:00,1290.79,1290.80,1290.10,1290.40,1290.40,1290.44,1289.71,1290.04
23//2017:00:00,1290.60,1290.91,1290.60,1290.77,1290.23,1290.56,1290.22,1290.40
23//2017:00:00,1290.69,1290.79,1290.50,1290.60,1290.36,1290.42,1290.16,1290.24
23//2017:00:00,1290.79,1291.04,1290.59,1290.69,1290.45,1290.67,1290.23,1290.34
23//2017:00:00,1291.00,1291.01,1290.70,1290.79,1290.64,1290.66,1290.33,1290.44
23//2017:00:00,1291.07,1291.12,1290.80,1291.00,1290.68,1290.79,1290.42,1290.65
23//2017:00:00,1291.14,1291.83,1290.97,1291.10,1290.77,1291.45,1290.57,1290.71
23//2017:00:00,1291.34,1291.35,1290.90,1291.14,1290.95,1290.97,1290.51,1290.75
23//2017:00:00,1291.56,1291.56,1291.10,1291.35,1291.17,1291.18,1290.68,1290.97
23//2017:00:00,1291.55,1291.69,1291.53,1291.56,1291.16,1291.30,1291.14,1291.18
23//2017:00:00,1291.44,1291.81,1291.44,1291.56,1291.04,1291.41,1291.04,1291.17
23//2017:00:00,1291.28,1291.65,1291.28,1291.42,1290.90,1291.25,1290.89,1291.02
23//2017:00:00,1291.14,1291.31,1291.12,1291.28,1290.75,1290.92,1290.73,1290.89
23//2017:00:00,1290.96,1291.15,1290.93,1291.15,1290.57,1290.78,1290.52,1290.76
23//2017:00:00,1290.96,1290.96,1290.85,1290.96,1290.57,1290.59,1290.46,1290.59
23//2017:00:00,1290.95,1291.08,1290.91,1290.96,1290.55,1290.69,1290.54,1290.58
